ID;USD;EUR;JPY;GBP;CAD;CHF;INR;CNY;TRY;SAR;IDR;AED;THB;VND;EGP;KRW;RUB;ZAR;AUD
33323;356,6;277,8;49.301,90;203,3;414,3;511,3;6.954,10;1.903,60;1,3;1.331,20;699.082,20;1.303,90;9.067,50;2.636.700,20;1.185,00;262.255,40;0;969,1;460,4
33324;354,1;278,7;49.204,70;203,5;412,1;513,9;6.922,20;1.905,70;1,3;1.343,20;699.869,40;1.315,80;9.020,70;2.639.669,20;1.186,30;260.184,60;0;966,9;457,8
33325;355,7;279,8;50.208,20;204,5;411,3;517,4;6.942,20;1.914,90;1,3;1.328,80;703.234,40;1.301,40;9.121,30;2.652.360,90;1.192,00;258.393,50;0;971,9;457,7
33326;355,7;279,8;50.208,20;204,5;411,3;517,4;6.942,20;1.914,90;1,3;1.328,80;703.234,40;1.301,40;9.121,30;2.652.360,90;1.192,00;258.393,50;0;971,9;457,7
33329;355,7;279,8;50.208,20;204,5;411,3;517,4;6.942,20;1.914,90;1,3;1.328,80;703.234,40;1.301,40;9.121,30;2.652.360,90;1.192,00;258.393,50;0;971,9;457,7
33330;357,5;277,3;49.489,90;202,2;413;510,1;7.034,70;1.893,30;1,3;1.344,80;695.297,20;1.317,00;9.113,40;2.622.424,40;1.156,60;259.773,90;0;962,2;460,8
33331;359,2;275,9;49.412,70;201,7;413,9;507,7;7.025,70;1.888,40;1,3;1.342,10;693.504,60;1.314,40;9.166,60;2.615.663,60;1.153,60;260.455,50;0;965,9;459,2
33332;358,4;275,6;48.804,30;200,8;414,2;502,6;7.049,50;1.880,50;1,3;1.330,50;690.602,80;1.303,00;9.118,20;2.604.719,00;1.148,80;257.909,60;0;966,4;456,5
33333;358,5;276,5;48.881,80;201,6;413,6;506;7.055,10;1.887,40;1,3;1.349,00;693.125,70;1.321,10;9.139,40;2.614.234,20;1.153,00;258.851,80;0;977;459,8
33336;361;280,7;49.538,10;204,1;417,1;517,3;7.081,20;1.886,00;1,4;1.343,60;695.283,80;1.315,90;9.183,20;2.642.103,90;1.203,00;260.424,30;0;980,4;460,6
33337;364;279,9;49.146,60;203,3;419,7;514,3;7.177,30;1.878,80;1,4;1.356,20;692.643,00;1.317,00;9.249,90;2.632.068,60;1.198,40;260.461,80;0;984,7;460
33338;363,4;280,9;49.515,30;204,2;418,7;517,1;7.169,00;1.887,10;1,4;1.373,30;695.680,40;1.344,90;9.266,00;2.643.610,90;1.203,70;265.606,00;0;988;463,9
33339;361,8;278,3;49.145,90;202;416,2;510,7;7.163,30;1.867,20;1,4;1.347,50;688.361,50;1.319,60;9.233,20;2.615.798,90;1.191,00;260.357,00;0;978,6;460,3
33340;362;280,5;49.329,10;203,6;417,6;516,7;7.183,00;1.881,90;1,4;1.364,20;693.779,80;1.336,00;9.265,10;2.636.388,50;1.200,40;264.768,40;0;986,3;464,1
33343;360,1;277,4;48.409,20;201,3;414,7;512,3;7.346,90;1.884,20;1,4;1.345,10;693.958,30;1.317,30;9.037,70;2.658.781,50;1.187,60;259.789,20;0;978,3;461,2
33344;361,2;276,9;48.671,60;202;414,8;512;7.123,00;1.890,40;1,4;1.354,10;696.272,80;1.326,20;9.174,90;2.667.649,20;1.191,60;262.958,00;0;977,1;462,6
33345;360,7;277,5;49.179,50;202,4;415,3;514,6;7.119,90;1.894,40;1,4;1.357,00;697.748,40;1.329,00;9.188,30;2.673.302,80;1.194,10;263.009,30;0;981,8;464,1
33346;359,2;278,8;49.099,40;202,7;414;517,9;7.147,50;1.897,20;1,4;1.355,00;698.768,10;1.327,00;9.181,40;2.677.209,60;1.195,80;262.476,60;0;981,8;464
33347;356,2;284;49.358,80;206,8;411,9;524,7;7.155,70;1.939,30;1,4;1.351,80;714.252,80;1.323,80;9.142,50;2.736.536,40;1.222,30;263.227,70;0;994,3;466,1
33350;356,4;289,1;49.710,70;210,6;413,5;527,7;7.246,00;1.949,70;1,4;1.354,80;701.952,60;1.305,80;9.150,10;2.713.496,90;1.148,00;261.776,20;0;1.001,60;465,2
33351;355,5;284,6;49.020,20;207,7;411,2;518,8;7.193,10;1.922,60;1,4;1.325,90;692.202,70;1.298,50;9.118,60;2.675.807,50;1.132,00;257.257,40;0;987,6;456
33352;355,8;286,5;49.133,80;210;412,5;523,4;7.181,10;1.943,50;1,4;1.345,60;699.736,10;1.317,80;9.154,80;2.704.929,00;1.144,40;261.285,60;0;997,3;463,4
33353;353,3;284,1;48.853,50;209;408;518,8;7.162,40;1.934,50;1,4;1.328,60;696.489,00;1.301,00;9.223,10;2.692.376,80;1.139,00;256.645,50;0;983,9;453,8
33354;353,3;284,7;48.818,10;209,5;406,5;522,2;7.134,10;1.939,30;1,4;1.332,50;698.224,00;1.304,80;9.049,20;2.699.083,70;1.141,90;257.064,80;0;985;455,2
33357;351,1;285,3;48.310,30;209,4;404,4;520,8;7.076,40;1.870,20;1,4;1.309,70;683.368,30;1.282,60;8.971,20;2.771.210,80;1.159,90;254.898,40;0;985,9;449,8
33358;357,8;282,5;48.765,20;207,5;412,1;518,3;7.226,60;1.853,70;1,4;1.318,20;677.328,20;1.290,80;9.147,10;2.746.716,80;1.149,60;255.187,40;0;992,3;456,2
33359;356,5;279,9;49.045,90;206,7;410,9;514,8;7.202,40;1.846,70;1,4;1.349,20;674.766,00;1.321,20;9.162,10;2.736.326,50;1.145,30;258.679,10;0;993,6;461,3
33360;354,2;281;48.898,10;206,3;406,9;516,8;7.154,20;1.843,10;1,4;1.334,00;673.442,50;1.306,30;9.051,30;2.730.959,30;1.143,00;258.004,60;0;979,5;454,7
33361;355,5;285,7;49.235,20;209,7;409,5;524,3;7.089,00;1.920,20;1,4;1.349,80;700.775,60;1.312,30;9.165,40;2.863.128,10;1.159,80;260.453,40;0;1.002,00;459,2
33364;355,5;285,7;49.235,20;209,7;409,5;524,3;7.089,00;1.920,20;1,4;1.349,80;700.775,60;1.312,30;9.165,40;2.863.128,10;1.159,80;260.453,40;0;1.002,00;459,2
33365;356,2;282;49.149,10;206,9;409,9;519,4;7.255,40;1.894,70;1,4;1.330,20;691.450,40;1.302,60;9.124,10;2.825.028,50;1.146,50;256.030,60;0;988,5;455
33366;356,9;284,6;49.338,70;207,7;412;523;7.275,10;1.902,00;1,4;1.344,00;694.116,90;1.316,00;9.155,20;2.835.923,10;1.148,80;259.443,40;0;998,2;455,9
33367;356,9;286,1;49.684,70;209,4;411,5;525,6;7.300,30;1.917,30;1,4;1.339,80;699.721,20;1.311,90;9.151,60;2.858.820,30;1.158,10;260.627,10;0;996,5;455,8
33368;356,7;283,4;49.489,80;207,5;410;520,3;7.297,90;1.899,80;1,4;1.333,60;693.323,90;1.305,70;9.067,90;2.832.683,20;1.147,50;258.737,20;0;992,2;454
33371;356,9;281,7;49.757,10;206;409;515,1;7.324,50;1.870,80;1,4;1.333,90;690.135,30;1.304,50;8.890,30;2.800.398,10;1.145,60;257.655,30;0;992,9;456,6
33372;358;280,7;49.466,50;205,9;411,5;512,7;7.311,40;1.869,50;1,4;1.336,70;689.674,10;1.308,90;9.069,70;2.798.526,60;1.144,80;259.588,40;0;992;457,3
33373;359,9;281,7;49.844,30;206,6;418;516,5;7.384,20;1.876,00;1,4;1.350,20;692.061,40;1.322,10;9.132,10;2.808.213,70;1.148,70;262.248,30;0;1.001,70;460,6
33374;356;278,6;48.962,80;204;409;512,6;7.287,30;1.852,40;1,4;1.340,70;683.361,90;1.297,90;9.119,30;2.772.913,60;1.134,30;259.772,90;0;992,5;455,6
33375;355,1;283,7;49.184,40;206,9;409,2;520,8;7.278,90;1.878,40;1,4;1.355,10;692.952,20;1.311,70;9.108,70;2.811.828,60;1.150,20;262.317,00;0;1.004,40;459,5
33378;355;282,7;49.047,40;206,5;408,3;517,8;7.186,70;1.879,80;1,4;1.310,90;684.670,90;1.283,70;9.045,40;2.779.212,10;1.163,70;255.046,60;0;995,3;454
33379;356,3;281,2;48.936,10;205,2;409,1;516;7.349,60;1.867,70;1,4;1.332,70;680.252,60;1.304,20;9.114,20;2.761.277,30;1.156,20;253.400,70;0;995,7;458,7
33380;356,8;283,2;49.240,40;206,6;409,8;520,7;7.360,20;1.880,90;1,4;1.341,30;685.057,30;1.313,40;9.122,80;2.780.780,40;1.164,40;260.314,90;0;1.003,80;461,9
33381;354,9;280,8;48.888,20;204,6;408,5;516,5;7.342,40;1.862,00;1,4;1.322,80;678.165,80;1.294,50;9.006,50;2.752.806,40;1.152,70;256.867,80;0;991,5;464,1
33382;355,8;280,7;49.242,50;205,6;409,3;517,6;7.442,90;1.899,20;1,4;1.336,70;690.967,80;1.311,40;9.108,30;2.826.888,80;1.178,10;258.831,50;0;998,3;471,3
33385;355,8;280,7;49.242,50;205,6;409,3;517,6;7.442,90;1.899,20;1,4;1.336,70;690.967,80;1.311,40;9.108,30;2.826.888,80;1.178,10;258.831,50;0;998,3;471,3
33386;355,7;278,8;49.016,50;203,8;407,6;514,1;7.345,30;1.882,60;1,4;1.324,50;684.936,90;1.295,90;9.090,00;2.802.215,20;1.167,80;256.327,80;0;989,6;465,4
